author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Росстройинвест;developer;https://spb.cian.ru/sale/flat/280432163/;Санкт-Петербург;sale;flat;5;12;1;23.64;6069277;Красногвардейский;Полюстрово;;Академическая;Академик
ПИК;developer;https://spb.cian.ru/sale/flat/289280484/;Санкт-Петербург;sale;flat;2;15;-1;32.76;6092679;Красногвардейский;проспект Энергетиков;6;Ладожская;Вольта
;;https://spb.cian.ru/sale/flat/294504961/;Санкт-Петербург;sale;flat;5;13;1;21.7;6087600;Приморский;Планерная ;91к2;Старая Деревня;New Time
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297291636/;Санкт-Петербург;sale;flat;2;13;1;30.2;6096449;Приморский;Юнтолово;;Беговая;Тайм Сквер
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/299114639/;Санкт-Петербург;sale;flat;14;19;1;24.6;6090000;Приморский;Комендантский проспект;60к1;Комендантский проспект;Ultra City
ФСК;developer;https://spb.cian.ru/sale/flat/297552923/;Санкт-Петербург;sale;flat;5;13;-1;28.47;6051668;Приморский;Коломяжский проспект;4;Черная речка;Апартаменты Zoom Черная Речка
ГлавстройСПб;developer;https://spb.cian.ru/sale/flat/297885110/;Санкт-Петербург;sale;flat;2;23;1;25.5;6069294;Приморский; Ивинская;5к2;Зенит;ПАРК-КВАРТАЛ Юнтолово
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/299354067/;Санкт-Петербург;sale;flat;1;23;1;26.42;6100219;Невский;Невский;;Проспект Большевиков;Пульс Премьер ЖК
Самолет;developer;https://spb.cian.ru/sale/flat/293431278/;Санкт-Петербург;sale;flat;5;16;1;24.53;6102450;Невский; Гудиловская;9;Рыбацкое;Живи! в Рыбацком
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299095700/;Санкт-Петербург;sale;flat;4;12;1;21.9;6134190;Красногвардейский;Большая Охта;;;ЛСР Большая Охта ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299403253/;Санкт-Петербург;sale;flat;2;12;1;24.5;6149500;Красногвардейский;Партизанская ;5Б;Ладожская;ЛСР. Большая Охта
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/298589187/;Санкт-Петербург;sale;flat;5;12;1;24.17;6100072;Приморский;Коломяги;;Озерки;Прайм Приморский ЖК
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297292870/;Санкт-Петербург;sale;flat;3;13;1;26.1;6140691;Приморский;Юнтолово;;Беговая;Тайм Сквер ЖК
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/295387979/;Санкт-Петербург;sale;flat;1;12;1;26.58;6100110;Приморский;Коломяги;;Озерки;Прайм Приморский ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299634308/;Санкт-Петербург;sale;flat;2;12;1;23.3;6186150;Красногвардейский;Партизанская ;5;;ЛСР. Большая Охта
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/296463083/;Санкт-Петербург;sale;flat;2;12;1;23.6;6171400;Красногвардейский;Партизанская ;5;;ЛСР. Большая Охта
КВС;developer;https://spb.cian.ru/sale/flat/294621196/;Санкт-Петербург;sale;flat;1;4;1;28.6;6186920;Пушкинский;;;Купчино;Дубровский ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/294538766/;Санкт-Петербург;sale;flat;5;12;1;22.2;6182700;Красногвардейский;Партизанская ;5;;ЛСР. Большая Охта
ФСК;developer;https://spb.cian.ru/sale/flat/297553055/;Санкт-Петербург;sale;flat;9;13;-1;28.6;6174253;Приморский;Коломяжский проспект;4;Черная речка;Апартаменты Zoom Черная Речка
Лидер Групп;developer;https://spb.cian.ru/sale/flat/299556081/;Санкт-Петербург;sale;flat;2;18;1;28.7;6170500;Невский; Тельмана;37;Ломоносовская;ИСКРА-Сити
Ленстройтрест;developer;https://spb.cian.ru/sale/flat/298649421/;Санкт-Петербург;sale;flat;5;5;1;31.39;6154740;Колпинский;шоссе Рубежное;14;Рыбацкое;Юттери
ТРЕНД;real_estate_agent;https://spb.cian.ru/sale/flat/299184875/;Санкт-Петербург;sale;flat;18;21;-1;27.0;6150000;Московский;Витебский проспект;101к1;Купчино;IN2IT
К-25;developer;https://spb.cian.ru/sale/flat/294911231/;Санкт-Петербург;sale;flat;3;12;-1;25.7;6168000;Приморский;м. Комендантский проспект;;Комендантский проспект;YE'S Primorsky Комплекс Апартаментов
Группа Аквилон;developer;https://spb.cian.ru/sale/flat/294664706/;Санкт-Петербург;sale;flat;6;18;1;25.3;6194000;Московский; Среднерогатская;12к1;;4YOU
РСТИ;developer;https://spb.cian.ru/sale/flat/295858619/;Санкт-Петербург;sale;flat;2;9;1;23.97;6166592;Красносельский; Тамбасова;5;Проспект Ветеранов;Кинопарк
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/298056517/;Санкт-Петербург;sale;flat;2;25;1;24.95;6294793;Приморский;набережная Реки Каменки;15к1;Озерки;Friends
КВС;developer;https://spb.cian.ru/sale/flat/299153252/;Санкт-Петербург;sale;flat;2;4;1;27.85;6285700;Пушкинский;;;Купчино;Дубровский ЖК
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/298678473/;Санкт-Петербург;sale;flat;6;18;1;21.3;6228120;Невский;проспект Большевиков;68к1;Ломоносовская;Октябрьская набережная
