,floor,floors_count,rooms_count,total_meters,price,cian_id,distance_to_subway,distance_to_center,district_rank
3004,4,12,4,129.45,26293815,291838231,0.0011961205477479906,5006.838569585699,9
3005,3,5,4,95.6,27400000,291550931,0.0014081137612098216,2003.0677098861856,1
3006,5,5,4,100.3,28000000,299249709,0.002791669351925567,2197.760775638864,2
3007,23,23,4,101.3,28200000,293521801,0.00024025612000818083,8057.476630819977,8
3008,13,24,4,148.9,28800000,289479283,0.004407891178527804,8997.494532947185,8
3009,2,5,4,101.5,28900000,296686971,0.0005803797768787276,4373.980841297267,2
3010,1,6,4,93.1,29900000,262743416,0.00560914524298073,2843.1602224894827,2
3011,2,3,4,126.0,30900000,295052109,0.0,15475.320756527595,13
3012,9,11,4,114.0,34900000,297173416,0.0009119611786322062,6919.6106214731335,7
3013,15,16,4,220.0,34999999,296993470,0.0006968665170447936,13065.83739508461,6
3014,4,6,4,126.0,36800000,297471842,0.0026135849654063343,2094.3286992218273,4
3015,5,5,4,148.4,37500000,293311236,0.0040902687778817245,2549.684126176048,2
3016,4,4,4,157.9,37850000,294314170,0.0030183553952540486,857.810952986356,3
3017,4,4,4,170.9,38850000,287265523,0.0030183553952540486,857.810952986356,3
3018,5,8,4,120.0,39900000,299064807,0.0008494885513084245,3693.05383697214,1
3019,5,8,4,120.0,39900000,299064807,0.0008494885513084245,3693.05383697214,1
3020,8,26,4,145.1,39900000,294168068,0.002341400696249683,6447.126714797336,9
3021,10,21,4,120.6,42000000,298297162,0.00036792410631883763,6973.704459245435,4
3022,15,21,4,120.5,42000000,298297156,0.00036792410631883763,6973.704459245435,4
3023,10,13,4,116.0,44500000,297550138,0.0007242418546844324,6724.481748021407,9
3024,2,8,4,122.0,44500000,299410581,0.005291079940110172,3763.9339869255887,3
3025,3,4,4,150.0,46000000,291527837,0.0017063325201308259,1750.003381418629,4
3026,5,14,4,187.0,49000000,285382250,0.0003501312550570469,5527.780181593018,10
3027,3,8,4,137.0,54000000,291330843,0.0011682547634245723,3623.5514997016944,1
3028,5,5,4,135.0,55000000,297246884,0.0005347403042816414,4537.752742506121,2
3029,6,10,4,162.7,59700000,298926000,0.0063441453621920505,2935.833675111105,1
3030,7,7,4,133.7,60200000,295993566,0.005127831805842849,2511.1923625889776,2
3031,4,5,4,166.9,67000000,292624048,0.002044304379567118,648.1109459918547,2
3032,4,6,4,196.7,71000000,291595398,0.0006078558747682094,3669.7616267757203,2
3033,4,6,4,196.9,73000000,285834848,0.009604931470134939,959.6723385954335,2
3034,4,8,4,184.2,75900000,268787095,0.0009532689325800367,3757.2182489329252,1
3035,1,8,4,255.3,78000000,285240927,0.00037291542754247633,2673.156932450627,4
3036,5,7,4,146.0,80385000,291253661,0.0009276132935055327,3749.575306993095,2
3037,1,5,4,149.7,85500000,295061211,0.001295404014643349,3973.8300714368984,1
3038,2,7,4,241.8,99000000,270887431,0.012322870052150468,4439.673837499486,1
3039,2,4,4,170.0,99000000,295292042,0.002850347743085562,1526.4476506191056,2
3040,5,5,4,235.4,115000000,297163040,0.0012648907144418196,648.1109459918547,2
3041,3,5,4,186.1,120000000,284332202,0.004347984717797535,2413.398331623656,2
3042,2,2,4,160.0,150000000,294294743,0.0012208434005987472,1163.2172356351123,3
3043,5,5,4,260.0,157500000,264558452,0.002044304379567118,648.1109459918547,2
3044,1,6,4,199.8,220000000,295932765,0.0003451713373519353,1668.9757503066862,1
3045,5,5,-1,121.4,3200000,298636537,0.0027330791771696607,1328.7575069408467,2
3046,1,6,-1,109.1,3300000,298976691,0.0012413995996338942,3239.394294587439,3
3047,3,8,-1,84.0,4650000,299479271,0.001136475382394874,2725.0778150929004,4
3048,4,5,-1,56.0,5100000,289199814,0.0,2358.2445447062287,4
3049,5,5,4,49.5,5790000,294738086,0.000407321495863616,11878.264957681704,17
3050,5,5,4,47.3,5800000,294872755,0.0,25880.694729482762,16
3051,5,5,4,49.0,5900000,292229475,0.0,26090.63353536086,16
3052,5,5,4,49.0,6000000,296523229,0.0002591271218680594,13213.280993203647,17
3053,1,5,4,49.1,6100000,269032512,0.0,26508.670832485885,16
3054,1,5,4,49.0,6100000,290748961,0.0007650047028513921,11692.210926099011,17
3055,3,5,4,48.2,6450000,295931193,0.0012934325440147854,9954.63574299016,17
3056,3,5,4,49.1,6400000,295365610,0.0015406816329780338,10590.745888796138,17
3057,5,5,4,49.3,6400000,298071292,0.0015486454074532755,9977.255922721093,17
3058,3,5,4,48.0,6500000,298935387,0.0,9954.63574299016,17
3059,4,5,4,48.6,6500000,296573117,0.0002726269080626675,12966.663772881706,17
3060,5,5,4,49.0,6590000,299338676,0.004036494753889412,11352.163052065116,17
3061,4,5,4,48.9,6550000,299281335,0.0008256765001670343,10767.953450578003,7
3062,3,5,4,48.6,6600000,295935155,0.00026385197884190885,13124.731895626306,17
3063,3,5,4,48.2,6670000,298223248,0.0012934325440147854,9954.63574299016,17
3064,4,5,4,48.2,6750000,294138365,0.0016253901430570506,8773.926935556416,17
3065,5,6,4,47.9,6750000,298253737,0.0012552366389792411,8513.539875342074,17
3066,4,5,4,59.4,6800000,293954983,0.0,26482.038420730845,16
3067,4,5,4,49.0,6890000,280333052,0.0,10527.537376824344,17
3068,5,5,4,48.81,6800000,296225752,0.0007642035603598321,10725.63268109643,7
3069,3,5,4,49.6,6850000,292265872,0.00038152515568524623,11801.83578802116,17
3070,2,5,4,49.5,6850000,293548171,0.0004193481705655109,12823.84909257232,17
3071,2,5,4,63.0,6800000,293955544,0.0,7832.613805545562,11
3072,4,5,4,49.3,6900000,297421368,0.0002414131020659093,13356.105630556533,17
3073,4,5,4,60.0,6950000,299632486,0.0,26419.71007912531,16
3074,1,5,4,49.0,7100000,294342723,0.0009673583876499816,11854.96286186723,17
3075,4,5,4,48.7,7200000,299297347,0.0015500271346290007,8523.765231091546,17
3076,4,5,4,48.8,7200000,294954614,0.00028294386844172204,12721.80733764082,17
3077,3,9,4,68.3,7189000,297413403,0.0,27851.172822601613,13
3078,3,5,4,54.0,7300000,276828574,0.0,15291.072051071233,13
3079,4,5,4,49.1,7300000,293870127,0.0030348170560017896,8780.742438833802,14
3080,4,5,4,48.7,7300000,291598974,0.0,13193.026822757687,17
3081,1,5,4,49.0,7500000,273808799,0.0008444889516467665,10376.381059790718,7
3082,5,5,4,48.0,7600000,298819035,0.0,15634.312550699275,13
3083,5,5,4,60.3,7700000,281298850,0.0,8766.271404564692,11
3084,5,5,4,48.4,7700000,296440340,0.0011118915136469909,11690.083865790428,17
3085,5,5,4,48.9,7777000,294909678,0.0019933713389843786,11493.218658696804,17
3086,4,5,4,59.5,7990000,294370852,0.0005915419837347412,11801.83578802116,17
3087,5,5,4,49.0,7900000,292976950,0.0008256765001670343,10767.953450578003,7
3088,2,5,4,49.4,8000000,299467117,0.0007698324220436952,10950.42426325777,7
3089,4,5,4,59.6,8100000,288758716,0.0022140227954350784,11510.253474568413,17
3090,2,7,-1,129.0,8050000,298570625,0.0003733228251330224,2611.972350163371,4
3091,1,9,4,72.5,8200000,298924600,0.0,28247.623034605975,16
3092,3,5,4,59.4,8300000,299246025,0.0002369608213980368,13479.426372576587,17
3093,3,5,4,60.0,8300000,290398045,0.0,15546.837599568351,13
3094,4,5,4,59.01,8400000,294140098,0.0016462851541060764,11503.277512585202,17
3095,1,9,4,73.4,8500000,291914478,0.0,27140.827666504178,16
3096,2,3,4,81.4,8500000,284953523,0.0,25963.618905677547,13
3097,1,9,4,74.0,8800000,299587478,0.0015369060486024432,8656.213768206679,9
3098,1,9,4,73.8,8900000,292489011,0.000864499433781766,10029.376897174927,15
3099,3,4,4,66.5,8900000,298072946,0.0019768811256505566,4830.874929429509,17
3100,2,5,4,49.3,9000000,293025492,0.0027731331009891525,11218.859466906111,17
3101,1,3,4,64.4,9000000,294780857,0.0007711503663672137,6153.986391231992,17
3102,3,9,-1,67.5,9000000,291874363,0.0009901044999510622,7564.862492216508,7
3103,1,9,4,74.2,9150000,297797029,0.0,9405.696013354003,14
3104,9,9,4,73.3,9300000,299250455,0.0003861284384254136,8499.359489407703,10
