,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id,adress,longitude,latitude
2269,5,8,3,96.2,26936000,Адмиралтейский,Подъездной переулок,12,Пушкинская,298923197,Подъездной переулок 12,42.46108159167119,47.12962465
2270,2,8,3,102.8,26941824,Красносельский,проспект Патриотов,33,,297687695,проспект Патриотов 33,30.146756789232814,59.86290045
2271,2,6,3,80.2,26949800,Курортный,дорога Таможенная,11к1с4,Беговая,293980696,дорога Таможенная 11к1с4,29.942946223640487,60.128459750000005
2272,5,7,3,86.7,27130684,Адмиралтейский,Измайловское,к1,Балтийская,274416466,Измайловское к1,37.7261279,55.7785201
2273,3,13,3,109.4,27077000,Выборгский,Лиственная ,20к2,Озерки,291308879,Лиственная 20к2,134.5312968,43.3291373
2274,1,4,3,179.3,27050000,Курортный, Тарховская,84Б,Зенит,299315551,Тарховская 84Б,29.9714787,60.0765824
2275,12,12,3,88.5,27061884,Василеостровский,Гавань,1,Приморская,282740893,Гавань 1,30.18184861947747,59.871402700000004
2276,6,9,3,80.0,27072000,Адмиралтейский,Измайловское,к1,Балтийская,283176999,Измайловское к1,37.7261279,55.7785201
2277,5,8,3,104.3,27126344,Красносельский,проспект Патриотов,35,Проспект Ветеранов,296258470,проспект Патриотов 35,30.14466298156439,59.8622765
2278,3,12,3,101.22,27511596,Приморский,проспект Авиаконструкторов,54,Комендантский проспект,266867533,проспект Авиаконструкторов 54,30.20655429169124,60.033274399999996
2279,1,6,3,106.7,27528600,Выборгский,Зеленогорская ,3,Удельная,298198007,Зеленогорская 3,45.902260745468496,51.58098175
2280,8,9,3,79.0,27461348,Адмиралтейский,Измайловское,к1,Балтийская,276272572,Измайловское к1,37.7261279,55.7785201
2281,12,12,3,92.64,27514080,Приморский, Плесецкая,6,Комендантский проспект,275720126,Плесецкая 6,40.21871310704713,61.68484245
2282,2,8,3,97.4,27475566,Красносельский,проспект Патриотов,33,,297300116,проспект Патриотов 33,30.146756789232814,59.86290045
2283,19,27,3,123.1,27360000,Приморский,Планерная ,63к1,Комендантский проспект,299121813,Планерная 63к1,30.220009,60.0233967
2284,7,8,3,83.5,27555000,Центральный,Херсонская ,43/12,Площадь Александра Невского,299370272,Херсонская 43/12,30.38435,59.9270118
