author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
RBI;developer;https://spb.cian.ru/sale/flat/296810408/;Санкт-Петербург;sale;flat;23;23;4;122.8;35382425;Выборгский;Шувалово-Озерки;;Проспект Просвещения;Струны
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/297319476/;Санкт-Петербург;sale;flat;7;9;4;141.0;83500000;Центральный;Парадная ;3к2;Чернышевская;Парадный квартал
Sun Development;developer;https://spb.cian.ru/sale/flat/293435892/;Санкт-Петербург;sale;flat;3;7;4;131.63;40936415;Василеостровский;11-я Васильевского острова линия;56;Василеостровская;Клубный дом Monodom Line
BEYOND. ex-Engel  Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/291632305/;Санкт-Петербург;sale;flat;4;4;4;135.0;165000000;Центральный;набережная Кутузова;24;;Особняк Кушелева-Безбородко
Лидер Групп;developer;https://spb.cian.ru/sale/flat/286950069/;Санкт-Петербург;sale;flat;14;23;4;137.97;37251900;Московский;Гагаринское;;;Дефанс ЖК
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/292438602/;Санкт-Петербург;sale;flat;4;4;4;135.0;165000000;Центральный;набережная Кутузова;24;Чернышевская;Особняк Кушелева-Безбородко
Балтийская коммерция;developer;https://spb.cian.ru/sale/flat/273852790/;Санкт-Петербург;sale;flat;3;9;4;139.87;48842604;Петроградский; Малая Зеленина;;Чкаловская;Квадрия
BEYOND. ex-Engel  Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/297403314/;Санкт-Петербург;sale;flat;2;4;4;443.0;400000000;Петроградский;Чкаловское;5;;
GloraX;developer;https://spb.cian.ru/sale/flat/298848896/;Санкт-Петербург;sale;flat;10;19;4;101.8;37819999;Василеостровский;Морской;;;Глоракс Премиум Василеостровский ЖК
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/298746817/;Санкт-Петербург;sale;flat;5;8;4;212.3;101990000;Петроградский;Каменноостровский проспект;64К2;;Каменноостровский, 64
AAG;developer;https://spb.cian.ru/sale/flat/298529990/;Санкт-Петербург;sale;flat;2;8;4;99.72;50358600;Петроградский;Пионерская ;53;Чкаловская;Avant
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/299243371/;Санкт-Петербург;sale;flat;4;6;4;127.6;67000000;Петроградский;Петровский проспект;2;Спортивная;"Элитный комплекс ""ROYAL PARK"""
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/296753968/;Санкт-Петербург;sale;flat;2;7;4;129.7;61866900;Петроградский;Петровский проспект;28к2;Крестовский остров;Grand View
BEYOND. ex-Engel  Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/291683449/;Санкт-Петербург;sale;flat;7;7;4;222.0;104900000;Петроградский;Каменноостровский проспект;54/31;;
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/296753486/;Санкт-Петербург;sale;flat;6;6;4;140.7;78510600;Московский; Гастелло;7;Московская;Victory Plaza
BEYOND. ex-Engel  Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/297829056/;Санкт-Петербург;sale;flat;6;6;4;200.0;275000000;Петроградский;Спортивная ;2;;Крестовский de luxe
GloraX;developer;https://spb.cian.ru/sale/flat/279506975/;Санкт-Петербург;sale;flat;19;20;4;106.6;31679999;Василеостровский; Челюскина;8;;Golden City
BE HOME;real_estate_agent;https://spb.cian.ru/sale/flat/291482300/;Санкт-Петербург;sale;flat;3;3;4;122.7;22000000;Курортный; Мира;19;Беговая;
RBI;developer;https://spb.cian.ru/sale/flat/299131626/;Санкт-Петербург;sale;flat;6;9;4;127.3;60496512;Центральный;Лиговка-Ямская;;Площадь Восстания;Миръ
ID 111576386;homeowner;https://spb.cian.ru/sale/flat/296671521/;Санкт-Петербург;sale;flat;4;5;4;93.2;18700000;Адмиралтейский; Егорова;28Г;Фрунзенская;
ГлавстройСПб;developer;https://spb.cian.ru/sale/flat/297884845/;Санкт-Петербург;sale;flat;3;23;4;108.2;19208081;Приморский; Ивинская;1к1;Зенит;ПАРК-КВАРТАЛ Юнтолово
BE HOME;real_estate_agent;https://spb.cian.ru/sale/flat/296471256/;Санкт-Петербург;sale;flat;9;11;4;248.0;300000000;Петроградский;Ждановская ;45;Спортивная;Леонтьевский мыс
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/297863432/;Санкт-Петербург;sale;flat;7;8;4;120.7;88256202;Петроградский;набережная Реки Карповки;31к1;Петроградская;Северная Корона
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/299599858/;Санкт-Петербург;sale;flat;5;6;4;170.0;85000000;Центральный;Таврическая ;5;;
