author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Эталон СПБ;developer;https://spb.cian.ru/sale/flat/298658234/;Санкт-Петербург;sale;flat;3;4;1;34.4;6344619;Пушкинский; Соколиная;;Купчино;Пулковский дом
ТВОЁ ПРОСТРАНСТВО;real_estate_agent;https://spb.cian.ru/sale/flat/270915239/;Санкт-Петербург;sale;flat;10;13;1;42.09;9000000;Василеостровский;бульвар Головнина;;Горный институт;Аквилон ZALIVE
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/296754034/;Санкт-Петербург;sale;flat;4;8;1;48.53;22493655;Василеостровский;;;Горный институт;Империал Клаб ЖК
АН Петро-риэлт;real_estate_agent;https://spb.cian.ru/sale/flat/293605050/;Санкт-Петербург;sale;flat;7;25;1;33.6;6150000;Невский; Русановская;20к1;Пролетарская;Аквилон SKY
Euroinvest Development;developer;https://spb.cian.ru/sale/flat/293271480/;Санкт-Петербург;sale;flat;2;12;1;40.85;11174109;Выборгский;Светлановское;;Удельная;ID Svetlanovskiy
Мир Квартир Элит;real_estate_agent;https://spb.cian.ru/sale/flat/296838576/;Санкт-Петербург;sale;flat;3;8;1;44.5;24900000;Центральный;Полтавский проезд;3;Площадь Восстания;Дом у Невского
Эталон СПБ;developer;https://spb.cian.ru/sale/flat/298656747/;Санкт-Петербург;sale;flat;7;25;1;38.6;8688011;Приморский;Коломяги;;Проспект Просвещения;Новоорловский ЖК
Свой Мир;real_estate_agent;https://spb.cian.ru/sale/flat/299250635/;Санкт-Петербург;sale;flat;2;4;1;32.9;7600000;Красносельский;проспект Ветеранов;194;Проспект Ветеранов;Солнечный город. Резиденции
Петербургская Строительная Компания;developer;https://spb.cian.ru/sale/flat/293263846/;Санкт-Петербург;sale;flat;6;9;1;49.14;22594150;Центральный;проспект Бакунина;;Площадь Александра Невского;Bakunina 33
NEXT;real_estate_agent;https://spb.cian.ru/sale/flat/296572902/;Санкт-Петербург;sale;flat;5;14;1;40.7;11990000;Приморский;Белоостровская ;10к2;Лесная;ЦДС Черная речка
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/296659721/;Санкт-Петербург;sale;flat;11;12;1;32.42;13900026;Василеостровский;Уральская ;;Василеостровская;Amber Club
Петербургская Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/298648359/;Санкт-Петербург;sale;flat;10;12;1;38.9;12500000;Приморский;Приморский проспект;167К3;Беговая;
Стоун;developer;https://spb.cian.ru/sale/flat/294086705/;Санкт-Петербург;sale;flat;1;10;1;56.18;6551880;Пушкинский;;;Шушары;Полет ЖК
Петербургская Недвижимость;real_estate_agent;https://spb.cian.ru/sale/flat/297533814/;Санкт-Петербург;sale;flat;12;27;1;37.4;7300000;Выборгский; Николая Рубцова;12к1;Парнас;Северная долина
ID 97857447;realtor;https://spb.cian.ru/sale/flat/291267845/;Санкт-Петербург;sale;flat;1;6;1;38.4;17280000;Адмиралтейский;Мастерская ;9;Балтийская;
PLEADA;representative_developer;https://spb.cian.ru/sale/flat/298980289/;Санкт-Петербург;sale;flat;1;8;1;47.5;18037434;Петроградский;Петровский проспект;22к2;Крестовский остров;Familia
NEXT;real_estate_agent;https://spb.cian.ru/sale/flat/296285672/;Санкт-Петербург;sale;flat;3;8;1;42.8;18000000;Петроградский;Петровский проспект;28к1;Крестовский остров;Grand View
Bonava;developer;https://spb.cian.ru/sale/flat/298804753/;Санкт-Петербург;sale;flat;2;14;1;47.9;18444132;Красногвардейский;Большая Охта;;Ладожская;Магнифика ЖК
Lange and Smith;real_estate_agent;https://spb.cian.ru/sale/flat/296778800/;Санкт-Петербург;sale;flat;9;9;1;54.71;18730705;Красногвардейский;Малоохтинский проспект;;Площадь Александра Невского;Малоохтинский, 68
МИР КВАРТИР;real_estate_agent;https://spb.cian.ru/sale/flat/294265707/;Санкт-Петербург;sale;flat;3;4;1;49.0;18900000;Василеостровский;проспект Средний Васильевского острова;83с2;Василеостровская;LOFT NA SREDNEM
Алина Петлёваная;realtor;https://spb.cian.ru/sale/flat/299025669/;Санкт-Петербург;sale;flat;12;26;1;45.3;19000000;Выборгский;проспект Тореза;118;Озерки;LENINGRAD
