,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id,adress,longitude,latitude
2085,2,8,3,77.32,12371200,Красносельский, Лермонтова,15к2Б,Проспект Ветеранов,299599987,Лермонтова 15к2Б,30.081426,59.735038
2086,9,10,3,71.1,12350000,Кировский, Лени Голикова,29к5,Проспект Ветеранов,295047380,Лени Голикова 29к5,30.22804,59.842648
2087,7,11,3,75.8,12364117,Пушкинский,проспект Старорусский,13к2,Звездная,294664510,проспект Старорусский 13к2,30.355825,59.805079
2088,14,26,3,78.7,12592000,Пушкинский,проспект Новгородский,2к3,Звездная,297714737,проспект Новгородский 2к3,30.371653,59.812193
2089,14,26,3,79.0,12500000,Выборгский, Михаила Дудина,25к2,Парнас,294120396,Михаила Дудина 25к2,30.329729,60.071851
2090,9,10,3,69.4,12500000,Приморский, Савушкина,145,Беговая,299528669,Савушкина 145,30.19738,59.990044
2091,2,8,3,79.9,12704100,Красносельский, Лермонтова,15к2Ж,Проспект Ветеранов,293979141,Лермонтова 15к2Ж,30.080671,59.735106
2092,9,27,3,66.93,12871875,Выборгский,проезд Толубеевский,34к2,,297361394,проезд Толубеевский 34к2,30.354002,60.085038
2093,4,6,3,70.9,12900000,Петроградский, Мира,23Б,Горьковская,294454401,Мира 23Б,30.323701,59.96089
2094,3,6,3,108.1,12972000,Курортный, Строителей,3к2,,292413453,Строителей 3к2,29.681981,60.207919
2095,1,27,3,72.06,13086096,Выборгский,Заречная ,52к1,,297905082,Заречная 52к1,30.352277,60.083876
2096,13,23,3,51.88,13041067,Невский,Рыбацкое,4,Рыбацкое,297429039,Рыбацкое 4,30.488803,59.99926
2097,5,6,3,108.8,13056000,Курортный, Строителей,3к2,,292413463,Строителей 3к2,29.681981,60.207919
2098,1,5,3,77.0,13250352,Московский, Струве,12,Звездная,299582501,Струве 12,30.318958,59.76512
2099,13,15,3,75.0,13200000,Приморский,Богатырский проспект,29К1,Комендантский проспект,293251040,Богатырский проспект 29К1,30.247866,60.002728
2100,1,5,3,81.89,13181049,Колпинский,шоссе Рубежное,12,Рыбацкое,298649286,шоссе Рубежное 12,30.625859,59.754502
2101,3,27,3,71.63,13285155,Выборгский,Заречная ,48к2,Парнас,297361447,Заречная 48к2,30.349923,60.084644
2102,2,27,3,71.47,13241893,Выборгский,Заречная ,48к2,Парнас,297361439,Заречная 48к2,30.349923,60.084644
2103,2,5,3,74.9,13248900,Колпинский,проезд Понтонный,6,Рыбацкое,298649327,проезд Понтонный 6,30.628661,59.753078
2104,1,14,3,69.9,13398000,Василеостровский,Морская набережная,17к1,Приморская,297922315,Морская набережная 17к1,30.206992,59.944932
2105,9,10,3,60.3,13440359,Приморский,Парашютная ,79к1,Комендантский проспект,292425359,Парашютная 79к1,30.241901,60.041251
2106,18,27,3,70.64,13674948,Выборгский,Заречная ,52к1,,297905240,Заречная 52к1,30.352277,60.083876
2107,2,12,3,79.1,13550000,Приморский,Вербная ,20/2,Удельная,299064522,Вербная 20/2,30.299779,60.025048
2108,16,27,3,70.85,13780650,Выборгский,проезд Толубеевский,34к3,,297361230,проезд Толубеевский 34к3,30.354927,60.085209
2109,16,17,3,70.77,13727380,Выборгский,проезд Толубеевский,34к1,,297361172,проезд Толубеевский 34к1,30.35534,60.084352
2110,10,27,3,71.63,13887315,Выборгский,проезд Толубеевский,34к3,,297361211,проезд Толубеевский 34к3,30.354927,60.085209
2111,5,5,3,82.8,13800000,Центральный,Боровая ,19Б,Лиговский проспект,296027889,Боровая 19Б,30.345728,59.919085
2112,1,5,3,85.67,13834651,Колпинский,шоссе Рубежное,12,Рыбацкое,298649319,шоссе Рубежное 12,30.625859,59.754502
2113,12,27,3,71.63,13827099,Выборгский,проезд Толубеевский,32,Проспект Просвещения,297361096,проезд Толубеевский 32,30.354891,60.083845
2114,3,8,3,89.97,14080305,Красносельский, Лермонтова,15к2Ж,Проспект Ветеранов,293979015,Лермонтова 15к2Ж,30.080671,59.735106
2115,2,16,3,76.0,13990000,Приморский,проспект Юнтоловский,43к1,Беговая,298727725,проспект Юнтоловский 43к1,30.137112,60.030717
2116,7,23,3,86.1,13990000,Красносельский,проспект Ветеранов,133к1,Проспект Ветеранов,299059423,проспект Ветеранов 133к1,30.155582,59.835478
2117,10,14,3,69.0,13990000,Фрунзенский,Будапештская ,87к2,Дунайская,292602980,Будапештская 87к2,30.399834,59.833479
2118,3,10,3,64.6,14100175,Приморский,Парашютная ,79к1,Озерки,292425363,Парашютная 79к1,30.241901,60.041251
2119,16,23,3,80.59,14184675,Приморский, Ивинская,1к2,Зенит,298977643,Ивинская 1к2,30.135406,60.027862
2120,6,8,3,89.14,14173260,Красносельский, Лермонтова,15к2Б,Проспект Ветеранов,299600020,Лермонтова 15к2Б,30.081426,59.735038
2121,3,16,3,63.98,14116203,Невский, Гудиловская,9,Рыбацкое,297298340,Гудиловская 9,30.533144,59.82684
2122,1,5,3,79.57,14114880,Колпинский,шоссе Рубежное,14,Рыбацкое,298649499,шоссе Рубежное 14,30.626928,59.753645
2123,19,27,3,101.6,14100000,Выборгский, Федора Абрамова,21к3,Парнас,298959238,Федора Абрамова 21к3,30.348782,60.079734
2124,1,25,3,75.9,14200000,Приморский,Яхтенная ,30к4,Комендантский проспект,299478663,Яхтенная 30к4,30.218122,60.002625
2125,5,10,3,64.3,14343761,Приморский,Парашютная ,79к1,Комендантский проспект,292425339,Парашютная 79к1,30.241901,60.041251
2126,2,8,3,90.51,14391090,Красносельский, Лермонтова,15к2Б,Проспект Ветеранов,299600114,Лермонтова 15к2Б,30.081426,59.735038
2127,4,6,3,70.3,14300000,Петроградский,Большая Монетная ,7,Горьковская,292824961,Большая Монетная 7,30.313964,59.960476
2128,9,10,3,63.2,14497797,Приморский,Парашютная ,79к1,Озерки,298402694,Парашютная 79к1,30.241901,60.041251
2129,4,5,3,78.84,14470680,Колпинский,шоссе Рубежное,14,Рыбацкое,298649507,шоссе Рубежное 14,30.626928,59.753645
2130,1,5,3,81.83,14550315,Московский,Пулковское шоссе,95к4,Звездная,292871148,Пулковское шоссе 95к4,30.305052,59.756115
2131,4,6,3,80.9,14550000,Пушкинский,Красносельское шоссе,48/60,Купчино,297902986,Красносельское шоссе 48/60,30.146688,59.790046
2132,5,7,3,88.7,14700000,Центральный,Невский проспект,147,Площадь Александра Невского,282974920,Невский проспект 147,30.378346,59.925845
2133,1,11,3,65.77,14739223,Невский, Гудиловская,5к1,Рыбацкое,295426182,Гудиловская 5к1,30.531455,59.829075
2134,5,23,3,80.38,14763600,Приморский, Ивинская,5к2,Зенит,297885280,Ивинская 5к2,30.133088,60.029305
2135,3,5,3,76.11,14854070,Колпинский,шоссе Рубежное,12,Рыбацкое,298649271,шоссе Рубежное 12,30.625859,59.754502
2136,8,8,3,95.05,14875325,Красносельский, Лермонтова,15к2Ж,Проспект Ветеранов,293979112,Лермонтова 15к2Ж,30.080671,59.735106
2137,3,16,3,67.54,14845812,Невский, Гудиловская,9,Рыбацкое,299577861,Гудиловская 9,30.533144,59.82684
2138,21,23,3,80.59,14924745,Приморский, Ивинская,5к2,Зенит,297885356,Ивинская 5к2,30.133088,60.029305
2139,1,7,3,61.11,14873800,Приморский,шоссе Суздальское,18к3,Проспект Просвещения,298651103,шоссе Суздальское 18к3,30.279432,60.058973
2140,1,7,3,64.12,14822770,Приморский,шоссе Суздальское,18к3,Проспект Просвещения,298651096,шоссе Суздальское 18к3,30.279432,60.058973
2141,3,10,3,67.3,15000000,Калининский, Замшина,58,,295101157,Замшина 58,30.404092,59.980105
2142,1,11,3,68.69,15074127,Невский, Гудиловская,5к1,Рыбацкое,295426194,Гудиловская 5к1,30.531455,59.829075
2143,17,17,3,73.2,14990000,Невский, Белышева,5/6,Проспект Большевиков,298976631,Белышева 5/6,30.455727,59.909856
2144,5,5,3,78.0,14999000,Колпинский, Анисимова,5к7,,284435062,Анисимова 5к7,30.605799,59.73233
2145,5,5,3,83.51,14968200,Колпинский,шоссе Рубежное,12,Рыбацкое,298649282,шоссе Рубежное 12,30.625859,59.754502
2146,9,10,3,66.6,15157862,Приморский,Парашютная ,79к1,Комендантский проспект,298402672,Парашютная 79к1,30.241901,60.041251
2147,5,5,3,73.47,15126804,Колпинский,шоссе Рубежное,12,Рыбацкое,298649308,шоссе Рубежное 12,30.625859,59.754502
2148,13,17,3,78.8,15400000,Калининский,проспект Металлистов,117,Выборгская,289317245,проспект Металлистов 117,30.386754,59.97599
2149,5,5,3,75.13,15353840,Колпинский,шоссе Рубежное,12,Рыбацкое,298649273,шоссе Рубежное 12,30.625859,59.754502
2150,9,10,3,67.5,15484198,Приморский,Парашютная ,79к1,Комендантский проспект,292425344,Парашютная 79к1,30.241901,60.041251
2151,1,5,3,87.3,15450223,Московский,Пулковское шоссе,99к6,Звездная,296054922,Пулковское шоссе 99к6,30.304522,59.753822
2152,2,8,3,80.0,15500000,Петроградский,Ординарная ,21,Петроградская,298854078,Ординарная 21,30.304981,59.968394
2153,1,5,3,87.95,15593340,Колпинский,шоссе Рубежное,14,Рыбацкое,298697653,шоссе Рубежное 14,30.626928,59.753645
2154,4,25,3,86.0,15500000,Кировский,проспект Маршала Жукова,48к1,Ленинский проспект,299060656,проспект Маршала Жукова 48к1,30.212364,59.844126
2155,1,7,3,76.91,15455990,Приморский,шоссе Суздальское,18к3,Проспект Просвещения,298651119,шоссе Суздальское 18к3,30.279432,60.058973
2156,7,7,3,81.5,15500000,Адмиралтейский,набережная Канала Грибоедова,148-150,Балтийская,297215460,набережная Канала Грибоедова 148-150,30.288658,59.920681
2157,5,6,3,80.0,15700000,Петроградский, Блохина,4,Спортивная,299343353,Блохина 4,30.304738,59.950515
2158,5,5,3,86.53,15687840,Колпинский,шоссе Рубежное,12,Рыбацкое,298649316,шоссе Рубежное 12,30.625859,59.754502
2159,5,5,3,84.06,15789760,Колпинский,шоссе Рубежное,14,Рыбацкое,298649470,шоссе Рубежное 14,30.626928,59.753645
2160,1,5,3,74.21,15757000,Колпинский,шоссе Рубежное,14,Рыбацкое,298649454,шоссе Рубежное 14,30.626928,59.753645
2161,4,4,3,90.0,16000000,Центральный,Невский проспект,103,Площадь Восстания,297071747,Невский проспект 103,30.368024,59.929614
2162,3,5,3,86.29,16032000,Колпинский,шоссе Рубежное,14,Рыбацкое,298923949,шоссе Рубежное 14,30.626928,59.753645
2163,2,5,3,86.92,16044000,Колпинский,шоссе Рубежное,14,Рыбацкое,298649456,шоссе Рубежное 14,30.626928,59.753645
2164,5,5,3,70.04,16224000,Колпинский,шоссе Рубежное,14,Рыбацкое,298649394,шоссе Рубежное 14,30.626928,59.753645
2165,26,26,3,71.1,16200000,Невский, Дыбенко,5к1,Улица Дыбенко,295239682,Дыбенко 5к1,30.451577,59.899004
2166,3,16,3,80.0,16200000,Фрунзенский,Софийская ,38к2,Международная,299531865,Софийская 38к2,30.411036,59.873248
2167,7,7,3,78.1,16500000,Невский, Седова,94,Ломоносовская,299164003,Седова 94,30.439045,59.872141
2168,5,5,3,92.3,16650504,Московский, Струве,12,Звездная,299582532,Струве 12,30.318958,59.76512
2169,4,5,3,83.43,16596120,Колпинский,шоссе Рубежное,14,Рыбацкое,298649528,шоссе Рубежное 14,30.626928,59.753645
2170,4,9,3,77.5,16792578,Красносельский, Тамбасова,5,Проспект Ветеранов,298331223,Тамбасова 5,30.154432,59.841401
2171,8,8,3,105.05,16702950,Красносельский, Лермонтова,15к2Б,Проспект Ветеранов,299600043,Лермонтова 15к2Б,30.081426,59.735038
2172,5,5,3,85.03,16762900,Колпинский,шоссе Рубежное,14,Рыбацкое,298649410,шоссе Рубежное 14,30.626928,59.753645
2173,1,15,3,78.1,17100112,Невский,Дальневосточный проспект,19к1,Проспект Большевиков,298292409,Дальневосточный проспект 19к1,30.447301,59.906982
2174,5,5,3,80.95,17159700,Колпинский,шоссе Рубежное,14,Рыбацкое,298649548,шоссе Рубежное 14,30.626928,59.753645
2175,3,4,3,126.0,17100000,Пушкинский,Набережная ,1,Купчино,275932867,Набережная 1,30.142933,59.774072
2176,1,4,3,96.82,17250274,Красносельский,проспект Буденного,13,Ленинский проспект,295774774,проспект Буденного 13,30.093876,59.836997
2177,2,18,3,90.55,17204500,Невский, Тельмана,37,Ломоносовская,299556060,Тельмана 37,30.47999,59.891268
2178,1,4,3,95.17,17250752,Красносельский,проспект Буденного,15,Проспект Ветеранов,295827644,проспект Буденного 15,30.092682,59.838114
2179,16,26,3,68.5,17290000,Невский, Дыбенко,7к2,Улица Дыбенко,299552430,Дыбенко 7к2,30.456661,59.899428
2180,4,5,3,99.4,17400715,Московский, Струве,8к3,Звездная,299582489,Струве 8к3,30.318599,59.763226
2181,4,5,3,97.0,17500000,Центральный, Жуковского,32,Площадь Восстания,299474046,Жуковского 32,30.361476,59.936025
2182,10,10,3,71.9,17643514,Приморский,Парашютная ,79к1,Комендантский проспект,292425360,Парашютная 79к1,30.241901,60.041251
2183,15,15,3,78.8,17643320,Василеостровский,проспект Крузенштерна,2,,294545436,проспект Крузенштерна 2,30.203112,59.930791
2184,2,14,3,83.4,17731674,Фрунзенский,Волковское,1,Обводный канал,290735404,Волковское 1,30.366614,59.892067
2185,12,12,3,69.2,17690841,Фрунзенский,Волковское,5,Обводный канал,287140616,Волковское 5,30.366614,59.892067
2186,13,14,3,99.8,17600000,Приморский,проспект Авиаконструкторов,42к3,,289712007,проспект Авиаконструкторов 42к3,30.217682,60.027678
2187,1,7,3,85.49,17718910,Приморский,шоссе Суздальское,18к3,Проспект Просвещения,298651134,шоссе Суздальское 18к3,30.279432,60.058973
2188,1,16,3,85.3,17550022,Московский, Федора Котанова,5к2,Звездная,292227245,Федора Котанова 5к2,30.341632,59.826008
2189,5,17,3,72.45,17822700,Василеостровский,Гавань,12,Горный институт,294545394,Гавань 12,30.241164,59.930038
2190,3,3,3,81.7,17763033,Петродворцовый,Красносельское шоссе,22,Ленинский проспект,285685066,Красносельское шоссе 22,30.133618,59.779463
2191,15,15,3,79.6,17822440,Василеостровский,проспект Крузенштерна,2,Горный институт,294545449,проспект Крузенштерна 2,30.203112,59.930791
2192,2,17,3,73.02,17846088,Василеостровский,Гавань,12,Горный институт,294545364,Гавань 12,30.241164,59.930038
2193,12,23,3,68.9,17894035,Калининский,Полюстровский проспект,75,Лесная,299507393,Полюстровский проспект 75,30.366201,59.981708
2194,9,18,3,88.19,17858475,Невский, Тельмана,37,Ломоносовская,299556053,Тельмана 37,30.47999,59.891268
2195,9,14,3,74.4,17820288,Фрунзенский,Волковское,5,Обводный канал,295643026,Волковское 5,30.366614,59.892067
2196,4,10,3,82.6,17800000,Калининский,проспект Науки,79к3,Академическая,298093233,проспект Науки 79к3,30.433269,60.002364
2197,3,3,3,79.4,18050908,Петродворцовый,Красносельское шоссе,22,Ленинский проспект,285685196,Красносельское шоссе 22,30.133618,59.779463
2198,9,18,3,89.29,18081225,Невский, Тельмана,37,Ломоносовская,299556050,Тельмана 37,30.47999,59.891268
2199,2,12,3,77.5,17980000,Красногвардейский,Партизанская ,5Б,Ладожская,299403319,Партизанская 5Б,30.425858,59.943368
2200,14,23,3,74.21,18090621,Невский,Рыбацкое,4,Рыбацкое,299389560,Рыбацкое 4,30.488803,59.99926
2201,21,26,3,80.1,17940000,Приморский,проспект Королева,7,Пионерская,295040057,проспект Королева 7,30.29094,60.01074
2202,14,15,3,87.3,17998000,Красносельский, Рихарда Зорге,4к2,Ленинский проспект,297079059,Рихарда Зорге 4к2,30.182001,59.851159
2203,3,23,3,103.0,18000000,Выборгский,проспект Луначарского,76К2,,293835473,проспект Луначарского 76К2,30.365123,60.036942
2204,4,5,3,87.9,18000000,Колпинский, Анисимова,5к7,Шушары,299136877,Анисимова 5к7,30.605799,59.73233
2205,2,11,3,74.5,18001584,Фрунзенский,Волковское,3,Обводный канал,278117225,Волковское 3,30.366614,59.892067
2206,2,14,3,77.2,18195654,Фрунзенский,Волковское,1,Обводный канал,288160196,Волковское 1,30.366614,59.892067
2207,16,24,3,77.93,18263441,Невский, Славянская,8,Рыбацкое,298813572,Славянская 8,30.526191,59.83324
2208,4,4,3,95.98,18250117,Красносельский,проспект Буденного,13,Ленинский проспект,295704542,проспект Буденного 13,30.093876,59.836997
2209,2,25,3,84.06,18224076,Приморский,Коломяжский проспект,13к2,Пионерская,297024582,Коломяжский проспект 13к2,30.302348,59.999615
2210,15,24,3,106.2,18263966,Приморский,проспект Королева,63к1,Комендантский проспект,299120871,проспект Королева 63к1,30.243617,60.03242
2211,2,13,3,76.3,18237226,Фрунзенский,Волковское,1,Обводный канал,291847028,Волковское 1,30.366614,59.892067
2212,10,10,3,72.5,18311221,Приморский,Парашютная ,79к1,Комендантский проспект,298402688,Парашютная 79к1,30.241901,60.041251
2213,5,17,3,75.18,18434136,Василеостровский,Гавань,12,Горный институт,294545369,Гавань 12,30.241164,59.930038
2214,4,25,3,88.44,18380898,Приморский,Коломяжский проспект,13к2,Пионерская,297024482,Коломяжский проспект 13к2,30.302348,59.999615
2215,5,11,3,74.2,18434841,Фрунзенский,Волковское,3,Обводный канал,293875621,Волковское 3,30.366614,59.892067
2216,2,19,3,85.72,18452287,Приморский,Коломяжский проспект,13,Пионерская,298257064,Коломяжский проспект 13,30.30101,59.998027
2217,4,12,3,76.0,18620000,Красногвардейский,Партизанская ,5Б,Ладожская,299403302,Партизанская 5Б,30.425858,59.943368
2218,3,10,3,95.6,18500000,Приморский, Оптиков,52к2Е,Беговая,299528805,Оптиков 52к2Е,30.20136,59.999395
2219,2,9,3,79.5,18642750,Выборгский,Светлановский проспект,45,Политехническая,299252946,Светлановский проспект 45,30.35128,60.011437
2220,2,6,3,77.2,18500000,Василеостровский,проспект Большой Васильевского острова,87,Василеостровская,298142159,проспект Большой Васильевского острова 87,30.249069,59.929718
2221,6,7,3,82.5,18500000,Василеостровский,Гаванская ,12к2,Приморская,299274353,Гаванская 12к2,30.240203,59.930728
2222,12,17,3,80.24,18728738,Невский,Октябрьская набережная,11Б,Пролетарская,297359635,Октябрьская набережная 11Б,30.496959,59.861652
2223,19,23,3,68.4,18830758,Калининский,Полюстровский проспект,75,Лесная,299507424,Полюстровский проспект 75,30.366201,59.981708
