author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/297694522/,Санкт-Петербург,sale,flat,13,18,1,24.33,6000033,Невский,Невский,,Проспект Большевиков,Пульс Премьер ЖК
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/296627103/,Санкт-Петербург,sale,flat,10,18,1,24.5,6000099,Невский,Невский,,Проспект Большевиков,Пульс Премьер ЖК
Самолет,developer,https://spb.cian.ru/sale/flat/299037736/,Санкт-Петербург,sale,flat,8,9,1,28.44,6047045,Курортный,,582,Парнас,Курортный квартал ЖК
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/299335569/,Санкт-Петербург,sale,flat,3,17,1,30.0,6000000,Московский,проезд Дизельный,11к2,Звездная,Две столицы
ФСК,developer,https://spb.cian.ru/sale/flat/298730036/,Санкт-Петербург,sale,flat,3,13,-1,21.4,6046184,Приморский,Коломяжский проспект,4,Черная речка,Апартаменты Zoom Черная Речка
Петербургская Строительная Компания,developer,https://spb.cian.ru/sale/flat/279903524/,Санкт-Петербург,sale,flat,2,12,-1,28.38,6067060,Кировский,Автово,5к1,Автово,Апарт-отель Kirovsky AVENIR
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/299096701/,Санкт-Петербург,sale,flat,3,23,1,25.65,6091875,Красносельский,Юго-Запад,,Автово,Морская миля ЖК
ЛСР Санкт-Петербург,developer,https://spb.cian.ru/sale/flat/299095615/,Санкт-Петербург,sale,flat,4,12,1,22.5,6066000,Красногвардейский,Большая Охта,,,ЛСР Большая Охта ЖК
Лидер Групп,developer,https://spb.cian.ru/sale/flat/287299946/,Санкт-Петербург,sale,flat,9,24,-1,23.66,6056960,Московский,Новоизмайловское,,,YE'S Leader
Росстройинвест,developer,https://spb.cian.ru/sale/flat/280432163/,Санкт-Петербург,sale,flat,5,12,1,23.64,6069277,Красногвардейский,Полюстрово,,Академическая,Академик
ПИК,developer,https://spb.cian.ru/sale/flat/289280484/,Санкт-Петербург,sale,flat,2,15,-1,32.76,6092679,Красногвардейский,проспект Энергетиков,6,Ладожская,Вольта
,,https://spb.cian.ru/sale/flat/294504961/,Санкт-Петербург,sale,flat,5,13,1,21.7,6087600,Приморский,Планерная ,91к2,Старая Деревня,New Time
РосСтройИнвест,developer,https://spb.cian.ru/sale/flat/297291636/,Санкт-Петербург,sale,flat,2,13,1,30.2,6096449,Приморский,Юнтолово,,Беговая,Тайм Сквер
ТРЕНД,real_estate_agent,https://spb.cian.ru/sale/flat/299114639/,Санкт-Петербург,sale,flat,14,19,1,24.6,6090000,Приморский,Комендантский проспект,60к1,Комендантский проспект,Ultra City
ФСК,developer,https://spb.cian.ru/sale/flat/297552923/,Санкт-Петербург,sale,flat,5,13,-1,28.47,6051668,Приморский,Коломяжский проспект,4,Черная речка,Апартаменты Zoom Черная Речка
ГлавстройСПб,developer,https://spb.cian.ru/sale/flat/297885110/,Санкт-Петербург,sale,flat,2,23,1,25.5,6069294,Приморский, Ивинская,5к2,Зенит,ПАРК-КВАРТАЛ Юнтолово
Петербургская Недвижимость,representative_developer,https://spb.cian.ru/sale/flat/299354067/,Санкт-Петербург,sale,flat,1,23,1,26.42,6100219,Невский,Невский,,Проспект Большевиков,Пульс Премьер ЖК
