,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,cian_id
4844,4,8,4,184.2,75900000,Петроградский,Каменноостровский проспект,64К2,Петроградская,268787095
4845,1,8,4,255.3,78000000,Василеостровский,20-я Васильевского острова линия,5,Горный институт,285240927
4846,5,7,4,146.0,80385000,Центральный,Таврическая ,37,Чернышевская,291253661
4847,1,5,4,149.7,85500000,Петроградский,Морской проспект,11,Крестовский остров,295061211
4848,2,7,4,241.8,99000000,Петроградский,Морской проспект,33,Крестовский остров,270887431
4849,2,4,4,170.0,99000000,Центральный,Итальянская ,12Е,Гостиный двор,295292042
4850,5,5,4,235.4,115000000,Центральный,Большая Конюшенная ,13,Гостиный двор,297163040
4851,3,5,4,186.1,120000000,Центральный,Невский проспект,88,Маяковская,284332202
4852,2,2,4,160.0,150000000,Адмиралтейский,Почтамтская ,12,Адмиралтейская,294294743
4853,5,5,4,260.0,157500000,Центральный,Большая Конюшенная ,13,Невский проспект,264558452
4854,1,6,4,199.8,220000000,Петроградский,Спортивная ,2,Крестовский остров,295932765
4855,5,5,-1,121.4,3200000,Центральный,Мучной переулок,3,Сенная площадь,298636537
4856,1,6,-1,109.1,3300000,Адмиралтейский,Верейская ,46,Пушкинская,298976691
4857,3,8,-1,84.0,4650000,Василеостровский,12-я Васильевского острова линия,53,Василеостровская,299479271
4858,4,5,-1,56.0,5100000,Василеостровский,проспект Малый Васильевского острова,24,,289199814
4859,5,5,4,49.5,5790000,Кировский, Лени Голикова,23К4,Ленинский проспект,294738086
4860,5,5,4,47.3,5800000,Колпинский, Танкистов,16,Купчино,294872755
4861,5,5,4,49.0,5900000,Колпинский, Танкистов,30,Шушары,292229475
4862,5,5,4,49.0,6000000,Кировский, Бурцева,13,Ленинский проспект,296523229
4863,1,5,4,49.1,6100000,Колпинский,Пролетарская ,77,Шушары,269032512
4864,1,5,4,49.0,6100000,Кировский, Лени Голикова,21,Проспект Ветеранов,290748961
4865,3,5,4,48.2,6450000,Кировский,Трамвайный проспект,9К1,Ленинский проспект,295931193
4866,3,5,4,49.1,6400000,Кировский,проспект Народного ополчения,29,Ленинский проспект,295365610
4867,5,5,4,49.3,6400000,Кировский,Трамвайный проспект,27К2,Ленинский проспект,298071292
4868,3,5,4,48.0,6500000,Кировский,Трамвайный проспект,9К1,,298935387
4869,4,5,4,48.6,6500000,Кировский, Бурцева,14,Ленинский проспект,296573117
4870,5,5,4,49.0,6590000,Кировский,Дачный проспект,16К2,Проспект Ветеранов,299338676
4871,4,5,4,48.9,6550000,Московский, Костюшко,64,Московская,299281335
4872,3,5,4,48.6,6600000,Кировский, Бурцева,11,Ленинский проспект,295935155
4873,3,5,4,48.2,6670000,Кировский,Трамвайный проспект,9К1,Ленинский проспект,298223248
4874,4,5,4,48.2,6750000,Кировский, Червонного Казачества,20,Автово,294138365
4875,5,6,4,47.9,6750000,Кировский,Краснопутиловская ,55,Автово,298253737
4876,4,5,4,59.4,6800000,Колпинский,Пролетарская ,83,Шушары,293954983
4877,4,5,4,49.0,6890000,Кировский,бульвар Новаторов,20,,280333052
4878,5,5,4,48.81,6800000,Московский, Костюшко,9,Московская,296225752
4879,3,5,4,49.6,6850000,Кировский,проспект Стачек,220К2,Ленинский проспект,292265872
4880,2,5,4,49.5,6850000,Кировский,проспект Маршала Жукова,56К9,Проспект Ветеранов,293548171
4881,2,5,4,63.0,6800000,Петродворцовый,Кронштадтская ,4,,293955544
4882,4,5,4,49.3,6900000,Кировский, Бурцева,3,Ленинский проспект,297421368
4883,4,5,4,60.0,6950000,Колпинский,Пролетарская ,99,Шушары,299632486
4884,1,5,4,49.0,7100000,Кировский,проспект Народного ополчения,121,Проспект Ветеранов,294342723
4885,4,5,4,48.7,7200000,Кировский,Краснопутиловская ,43,Автово,299297347
4886,4,5,4,48.8,7200000,Кировский,проспект Маршала Жукова,56К6,Ленинский проспект,294954614
4887,3,9,4,68.3,7189000,Красносельский,Кингисеппское шоссе,10к1,,297413403
4888,3,5,4,54.0,7300000,Красносельский, Тамбасова,25К1,Проспект Ветеранов,276828574
4889,4,5,4,49.1,7300000,Фрунзенский, Белы Куна,7К3,Международная,293870127
4890,4,5,4,48.7,7300000,Кировский, Бурцева,15,,291598974
4891,1,5,4,49.0,7500000,Московский, Костюшко,24,Московская,273808799
4892,5,5,4,48.0,7600000,Красносельский,проспект Народного ополчения,241К4,Проспект Ветеранов,298819035
4893,5,5,4,60.3,7700000,Петродворцовый, Победы,19,,281298850
