author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Euroinvest Development;developer;https://spb.cian.ru/sale/flat/293271881/;Санкт-Петербург;sale;flat;3;12;3;93.25;22703578;Выборгский;Светлановское;;Удельная;ID Svetlanovskiy
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/293686843/;Санкт-Петербург;sale;flat;3;8;3;96.0;54000000;Центральный;Парадная ;3к2;Чернышевская;Парадный квартал
Euroinvest Development;developer;https://spb.cian.ru/sale/flat/293271799/;Санкт-Петербург;sale;flat;2;12;3;75.03;19577578;Выборгский;Светлановское;;Удельная;ID Svetlanovskiy
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/294201834/;Санкт-Петербург;sale;flat;2;7;3;107.2;80000000;Центральный;Большая Морская ;4;Адмиралтейская;
RBI;developer;https://spb.cian.ru/sale/flat/295748266/;Санкт-Петербург;sale;flat;8;15;3;84.2;20066696;Выборгский;Шувалово-Озерки;;Проспект Просвещения;Струны
BEYOND. ex-Engel  Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/294562193/;Санкт-Петербург;sale;flat;3;3;3;125.0;160000000;Петроградский;2-я Березовая аллея;13-15В;;
Sun Development;developer;https://spb.cian.ru/sale/flat/293435894/;Санкт-Петербург;sale;flat;4;7;3;90.96;28660412;Василеостровский;11-я Васильевского острова линия;56;Василеостровская;Клубный дом Monodom Line
ID 22496;real_estate_agent;https://spb.cian.ru/sale/flat/299446065/;Санкт-Петербург;sale;flat;6;9;3;142.6;39000000;Петроградский; Малая Зеленина;8;Чкаловская;Октавия
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/299465293/;Санкт-Петербург;sale;flat;3;12;3;78.33;25143930;Выборгский;Сампсониевское;;Выборгская;Сампсониевский 32
Мир Квартир Элит;real_estate_agent;https://spb.cian.ru/sale/flat/288722870/;Санкт-Петербург;sale;flat;6;6;3;153.6;43900000;Петроградский;Съезжинская ;24;Спортивная;
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/294541810/;Санкт-Петербург;sale;flat;9;20;3;58.17;10208835;Красногвардейский;м. Гражданский проспект;;Гражданский проспект;Ручьи ЖК
Мир Квартир Элит;real_estate_agent;https://spb.cian.ru/sale/flat/297340742/;Санкт-Петербург;sale;flat;6;9;3;95.0;34500000;Петроградский;Большая Посадская ;12;Горьковская;Собрание
Лидер Групп;developer;https://spb.cian.ru/sale/flat/286950189/;Санкт-Петербург;sale;flat;18;23;3;104.66;28729170;Московский;Гагаринское;;;Дефанс ЖК
ID 15075108;homeowner;https://spb.cian.ru/sale/flat/296073186/;Санкт-Петербург;sale;flat;3;4;3;93.2;19880000;Приморский;Парашютная ;15;Комендантский проспект;
GloraX;developer;https://spb.cian.ru/sale/flat/291004590/;Санкт-Петербург;sale;flat;7;14;3;91.14;21919999;Красногвардейский;проспект Энергетиков;2;;GloraX Заневский
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/289478924/;Санкт-Петербург;sale;flat;1;6;3;201.8;58320000;Петроградский;набережная Мартынова;74Д;Крестовский остров;
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/299636437/;Санкт-Петербург;sale;flat;2;11;3;91.75;29635250;Красногвардейский; Стахановцев;1;Новочеркасская;Малоохтинский, 68
Престиж;real_estate_agent;https://spb.cian.ru/sale/flat/296488797/;Санкт-Петербург;sale;flat;3;6;3;120.0;56000000;Петроградский;проспект Малый Петроградской стороны;79-81-83;Петроградская;
LEGENDA Intelligent Development;developer;https://spb.cian.ru/sale/flat/299540715/;Санкт-Петербург;sale;flat;15;23;3;157.0;54431900;Выборгский;аллея Академика Лихачева;7;Площадь Мужества;Институтский, 16
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/298017709/;Санкт-Петербург;sale;flat;3;10;3;150.0;105000000;Петроградский;Вязовая ;8;Крестовский остров;Привилегия
GloraX;developer;https://spb.cian.ru/sale/flat/299481506/;Санкт-Петербург;sale;flat;6;9;3;62.8;19729999;Адмиралтейский; Шкапина;43-45;Балтийская;GloraX Балтийская
BEYOND. ex-Engel  Volkers;real_estate_agent;https://spb.cian.ru/sale/flat/297720131/;Санкт-Петербург;sale;flat;4;6;3;127.6;67000000;Петроградский;Петровский проспект;;Спортивная;"Элитный комплекс ""ROYAL PARK"""
РСТИ;developer;https://spb.cian.ru/sale/flat/295858534/;Санкт-Петербург;sale;flat;2;9;3;73.04;15585144;Красносельский; Тамбасова;5;Проспект Ветеранов;Кинопарк
Гранит Инвест;real_estate_agent;https://spb.cian.ru/sale/flat/297078434/;Санкт-Петербург;sale;flat;3;11;3;64.0;19520000;Приморский;Фермское шоссе;12Б;Удельная;
Рикэл;developer;https://spb.cian.ru/sale/flat/290341286/;Санкт-Петербург;sale;flat;24;25;3;108.5;22900000;Калининский;Светлановский проспект;121к1;Гражданский проспект;Эврика
BE HOME;real_estate_agent;https://spb.cian.ru/sale/flat/298048424/;Санкт-Петербург;sale;flat;3;5;3;132.0;34000000;Выборгский;Калязинская ;7;Удельная;Калязинская 7
ГлавстройСПб;developer;https://spb.cian.ru/sale/flat/297361049/;Санкт-Петербург;sale;flat;5;24;3;54.9;9195750;Приморский; Ивинская;19к1;Комендантский проспект;Юнтолово
NF GROUP  St Petersburg;real_estate_agent;https://spb.cian.ru/sale/flat/299243392/;Санкт-Петербург;sale;flat;3;3;3;125.0;160000000;Петроградский;2-я Березовая аллея;13-15;Крестовский остров;
Балтийская коммерция;developer;https://spb.cian.ru/sale/flat/273852753/;Санкт-Петербург;sale;flat;2;9;3;109.51;41427633;Петроградский; Малая Зеленина;;Чкаловская;Квадрия
Ирина Прокофьева;realtor;https://spb.cian.ru/sale/flat/299057100/;Санкт-Петербург;sale;flat;3;5;3;64.0;14750000;Василеостровский;17-я Васильевского острова линия;28;Василеостровская;
