author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Константин Михайловер;realtor;https://spb.cian.ru/sale/flat/296073719/;Санкт-Петербург;sale;flat;10;15;2;73.0;13950000;Фрунзенский;Софийская ;48к4;Ломоносовская;Единство
Группа Аквилон;developer;https://spb.cian.ru/sale/flat/298641808/;Санкт-Петербург;sale;flat;3;12;2;59.79;13978122;Московский;Звёздное;;Звездная;Аквилон Ливз 2 ЖК
РСТИ;developer;https://spb.cian.ru/sale/flat/295859161/;Санкт-Петербург;sale;flat;3;9;2;57.95;14035480;Красносельский; Тамбасова;5;Проспект Ветеранов;Кинопарк
Роман Корякин;realtor;https://spb.cian.ru/sale/flat/291058944/;Санкт-Петербург;sale;flat;15;18;2;51.03;13990000;Фрунзенский; Салова;61;Бухарестская;Комплекс апартаментов Valo City
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/296417651/;Санкт-Петербург;sale;flat;3;12;2;51.63;14100411;Московский;Новоизмайловское;;;Титул в Московском
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/299403258/;Санкт-Петербург;sale;flat;2;12;2;59.2;14237600;Красногвардейский;Партизанская ;5Б;Ладожская;ЛСР. Большая Охта
Панорама;real_estate_agent;https://spb.cian.ru/sale/flat/297940795/;Санкт-Петербург;sale;flat;2;4;2;80.0;14150000;Петроградский;Стрельнинская ;12;Чкаловская;
Самолет;developer;https://spb.cian.ru/sale/flat/292014917/;Санкт-Петербург;sale;flat;3;11;2;59.28;14190565;Невский; Гудиловская;6к1;Обухово;Живи! в Рыбацком
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/293303904/;Санкт-Петербург;sale;flat;1;18;2;63.18;14215769;Московский;м. Ленинский проспект;;Ленинский проспект;Cube
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297359487/;Санкт-Петербург;sale;flat;15;17;2;54.57;14174542;Невский;Октябрьская набережная;11Б;Пролетарская;Лайнеръ
РосСтройИнвест;developer;https://spb.cian.ru/sale/flat/297294005/;Санкт-Петербург;sale;flat;4;13;2;69.3;14117797;Приморский;Юнтолово;;Беговая;Тайм Сквер ЖК
